antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,rating_group
"Gia_Ca_POS, Chat_Luong_Chat_Lieu_POS, CSKH_Hau_Mai_POS",Dong_Goi_POS,0.12185769066893908,0.45249254367277375,0.08606731998295697,0.7062937062937062,1.560895789709349,0.0309276235660787,1.8641325298760318,HIGH
"Gia_Ca_POS, Dong_Goi_POS, CSKH_Hau_Mai_POS",Chat_Luong_Chat_Lieu_POS,0.10311035364294845,0.6749041329356625,0.08606731998295697,0.8347107438016529,1.2367841639535855,0.016477716160873318,1.9668299957392417,HIGH
"Chat_Luong_Chat_Lieu_POS, Dong_Goi_POS, CSKH_Hau_Mai_POS",Gia_Ca_POS,0.12611844908393693,0.31572219855134215,0.08606731998295697,0.6824324324324325,2.1614965167596747,0.0462489259602909,2.1547471194553482,HIGH
"Giao_Hang_POS, Dong_Goi_POS, CSKH_Hau_Mai_POS",Gia_Ca_POS,0.09714529186195142,0.31572219855134215,0.072006817213464,0.7412280701754387,2.347722376115728,0.04133589208789688,2.64432777508973,HIGH
"Giao_Hang_POS, Dong_Goi_POS, Gia_Ca_POS",CSKH_Hau_Mai_POS,0.09714529186195142,0.31998295696634,0.072006817213464,0.7412280701754387,2.3164610928119234,0.04092197946811865,2.627862471384314,HIGH
"Giao_Hang_POS, CSKH_Hau_Mai_POS, Gia_Ca_POS",Dong_Goi_POS,0.09757136770345122,0.45249254367277375,0.072006817213464,0.7379912663755458,1.6309468005493466,0.02785650085169783,2.0896534583155795,HIGH
"Gia_Ca_POS, Dong_Goi_POS, CSKH_Hau_Mai_POS",Giao_Hang_POS,0.10311035364294845,0.34128674904132933,0.072006817213464,0.6983471074380165,2.0462180538789325,0.036816619826160336,2.183679544273949,HIGH
"Giao_Hang_POS, Dong_Goi_POS, CSKH_Hau_Mai_POS","Gia_Ca_POS, Chat_Luong_Chat_Lieu_POS",0.09714529186195142,0.24328930549637837,0.06135492117596932,0.6315789473684211,2.595999631302424,0.037720510586632186,2.053929027938402,HIGH
"Giao_Hang_POS, Dong_Goi_POS, Gia_Ca_POS","Chat_Luong_Chat_Lieu_POS, CSKH_Hau_Mai_POS",0.09714529186195142,0.22155943757988922,0.06135492117596932,0.6315789473684211,2.850607287449393,0.03983146494750117,2.112910097997444,HIGH
"Giao_Hang_POS, CSKH_Hau_Mai_POS, Gia_Ca_POS","Chat_Luong_Chat_Lieu_POS, Dong_Goi_POS",0.09757136770345122,0.27183638687686407,0.06135492117596932,0.6288209606986899,2.3132332206266857,0.0348314731168292,1.961758440061154,HIGH
